id,name,maxHP,rotation,extra
E_HACKER_DRONE,Hacker Drone,40,3,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Hacker Drone: 25% | Firewall Pod: 25% | Patch Sprite: 25% | STOP: 25%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; explosion +2."", ""Special effects"": ""On death: 4 damage to ALL active characters."", ""Design notes / justification"": ""Pure attack + death pressure; kill-order puzzle."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_FIREWALL_POD,Firewall Pod,45,3,"{""Primary purpose"": ""Defense/Tank"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Firewall Pod: 30% | Hacker Drone: 25% | Patch Sprite: 25% | STOP: 20%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +15 HP; starts with +6 Firewall."", ""Special effects"": ""Starts combat with 6 Firewall."", ""Design notes / justification"": ""Teaches Firewall; slows fight without being tricky."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_PATCH_SPRITE,Patch Sprite,38,3,"{""Primary purpose"": ""Support/Heal"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Patch Sprite: 30% | Firewall Pod: 25% | Hacker Drone: 20% | STOP: 25%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +10 HP; heal frequency up."", ""Special effects"": ""Prioritises lowest-HP ally."", ""Design notes / justification"": ""Extends fights; forces focus decisions."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_SIGNAL_IMP,Signal Imp,45,3,"{""Primary purpose"": ""Control"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Signal Imp: 35% | Hacker Drone: 20% | Firewall Pod: 15% | STOP: 30%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +12 HP; control potency +1."", ""Special effects"": ""First debuff each combat grants 6 Firewall."", ""Design notes / justification"": ""Disrupts planning without hard-locks."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_CORRODE_RAT,Corrode Rat,42,3,"{""Primary purpose"": ""Debuff/DoT"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Corrode Rat: 35% | Leak Wraith: 25% | Firewall Pod: 15% | STOP: 25%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +14 HP; Corrode +2."", ""Special effects"": ""Targets highest-Firewall target first."", ""Design notes / justification"": ""Anti-turtle; pushes tempo."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_LEAK_WRAITH,Leak Wraith,48,3,"{""Primary purpose"": ""Debuff/DoT"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Leak Wraith: 35% | Corrode Rat: 25% | Signal Imp: 15% | STOP: 25%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +16 HP; Leak +1."", ""Special effects"": ""Prioritises multi-hit when you have Leak."", ""Design notes / justification"": ""Sequencing tax enemy."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_SCRAP_MINION,Scrap Minion,12,2,"{""Primary purpose"": ""Minion"", ""Actions / turn"": 1, ""Difficulty"": ""Minion"", ""Min enemy count"": 1, ""Max enemy count"": 1, ""Spawn table (weights)"": ""STOP: 100%"", ""Dupes rule"": ""Allow"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +4 HP."", ""Special effects"": ""On death: nothing."", ""Design notes / justification"": ""Fast-clear add."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""All"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_PULSE_SAPPER_ARRAY,Pulse Sapper Array,54,2,"{""Primary purpose"": ""Attack"", ""Actions / turn"": 1, ""Difficulty"": ""Normal"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Corrode Rat: 34% | Patch Sprite: 18% | Hacker Drone: 18% | STOP: 30%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +18 HP; deepen Attacker theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (3) with tiny deck variance (2/3). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 2"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_CHROME_CLERIC_PROTOCOL,Chrome Cleric Protocol,50,2,"{""Primary purpose"": ""Control"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 4, ""Spawn table (weights)"": ""Signal Imp: 34% | Signal Imp: 18% | Patch Sprite: 18% | STOP: 30%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +14 HP; deepen Controller theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (6) with tiny deck variance (2/6). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
E_VECTOR_RAT_MK_III,Vector Rat Mk III,49,3,"{""Primary purpose"": ""Support/Heal"", ""Actions / turn"": 1, ""Difficulty"": ""Easy"", ""Min enemy count"": 2, ""Max enemy count"": 3, ""Spawn table (weights)"": ""Patch Sprite: 19% | Firewall Pod: 18% | Leak Wraith: 18% | STOP: 45%"", ""Dupes rule"": ""Avoid"", ""Minion cap"": null, ""Scaling options"": ""Later acts: +16 HP; deepen Healer theme."", ""Special effects"": null, ""Design notes / justification"": ""Memorisable pool (4) with tiny deck variance (3/4). Plays 1 card/turn, so threat comes from card mix + encounter composition."", ""Boss category"": null, ""Run inclusion weight"": null, ""Act"": ""Act 1"", ""Boss pool (Act)"": null, ""Notes (Act tuning)"": null}"
